orderHash,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,event
0x3d92e08b84a0331e3dac0050417e214c87e1c6ee2f80ebda510d69a51f58bdfc,0x83c56c56bc67c0b99b38abd1c0a3c1aca7a7e193,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,257103983037378177634147924423081804999237965966329774190985199732065598146,20806391034830253865172911368748608442384450369607288850840034626421890482176,781250,281250,0,OrderFilled
0x40cc6fbf92a4bb2807261cd61149112b571463e75ebd946da596c24f6c5fe60a,0xda44c444dc63d3d3719c8b2da410bd52708f2b09,0x83c56c56bc67c0b99b38abd1c0a3c1aca7a7e193,0,315792566532897902612907399449938326642502388734277560250247018969275388434,72822368621905888528105189790620129548345576293625510977940121192476616762378,75988558561988753246718458911951439528708427436826620150894039505192991682220,75083932864822220469971810591571065248604755681626303244335777130131170000896,OrderFilled
0xac19e41eaa4d45700f3ca054cad242543525270042a0910c415a2a5a3046c773,0x83c56c56bc67c0b99b38abd1c0a3c1aca7a7e193,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,137247692766270689583694410750663629598136848426333647800212657472998246589,92271821110986343228158128678798176570574519030432324468942762256305775463073,114887463540149662646824336688307533573166312910440247132899321632851308670636,75083932864822220469971810591571065248604755681626303244335777130131170000896,OrderFilled
0xe40973f76b44e6b348111df68e3a2dd315b8535e254301a2894b51af2a6c2959,0x8a4c788f043023b8b28a762216d037e9f148532b,0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f,0,137247692766270689583694410750663629598136848426333647800212657472998246589,92271821110986343228158128678798176570574519030432324468942762256305775241980,28948022309329048855892746252171976963317496166410141009864396001978282488109,0,OrderFilled
0x4a37084234a2a77d9904cb06d8e5764bf6063de6a627619f3e97dc7beaece464,0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,315792566532897902612907399449938326642502388734277560250247018969275388434,72822368621905888528105189790620129548345576293625510977940121192476616705584,86844066927987146567678238756515930889952488499230423029593188005934847308077,0,OrderFilled
0x40cc6fbf92a4bb2807261cd61149112b571463e75ebd946da596c24f6c5fe60a,0xda44c444dc63d3d3719c8b2da410bd52708f2b09,0x8106c64e4cc29cbe1d3154e02b38c36b6e9b9a57,0,315792566532897902612907399449938326642502388734277560250247018969275388434,72822368621905888528105189790620129548345576293625510977940121192476616739534,59252983164407896876905464984914515346790499965620757379566185566549297055167,904625697166532776746648320380374280103671755200316906558262375061821325312,OrderFilled
0x3d7f9be8d72a170b25aac337ceb66c64d47551c2ff84fae8ae9a0c4370b8ab8b,0x8106c64e4cc29cbe1d3154e02b38c36b6e9b9a57,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,137247692766270689583694410750663629598136848426333647800212657472998246589,92271821110986343228158128678798176570574519030432324468942762256305775377136,57443731770074831323412168344153766786583156455220123566449660816425654404543,904625697166532776746648320380374280103671755200316906558262375061821325312,OrderFilled
0x8c49c557e4592263a8157e5c3c6c5c3e8a972287fdc30ce5a0967cb4df6284ca,0x388911e52bb2eb440b9f03ed24bcef13c93e1499,0x0c0e270cf879583d6a0142fc817e05b768d0434e,0,134693292398004842022011930176930561172515243700918880275318978366775314692,23067955277746585807039532169699544142643629757608081117235690564076443796041,108555083659983933209597798445644913612440610624038028786991485007418559096033,86844066927987146567678238756515930889952488499230423029593188005934847229952,OrderFilled
0x7f8aa52fc47e1c344e1765b502e976678d6bb354ee395849c755f808c07d7e32,0x0c0e270cf879583d6a0142fc817e05b768d0434e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,134693292398004842022011930176930561172515243700918880275318978366775314692,23067955277746585807039532169699544142643629757608081117235690564076443795456,58593,86844066927987146567678238756515930889952488499230423029593188005934847230537,108555083659983933209597798445644913612440610624038028786991485007418559037440,OrderFilled
0x6fa856371664128bb45694f03fad3df6f17186a09eb794bff771d225ec9e0d65,0x30e443872ddf63b2908a49f92cd690c304a55102,0xee263c1575838e66e988a87ca8864f3a35bd445f,29294182706402347421201018820735191884095666708374564266766612179897655362,23067955277746585807039532169699544142643629757608081117235690564076443795456,58593,86844066927987146567678238756515930889952488499230423029593188005934847267452,0,OrderFilled
0xd5753d3e989f404b3529ef8e8a765e4226c8398aad595d76bf8bdc1d2907aa95,0xee263c1575838e66e988a87ca8864f3a35bd445f,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,29294182706402347421201018820735191884095666708374564266766612179897655362,23067955277746585807039532169699544142643629757608081117235690564076443832956,58593,86844066927987146567678238756515930889952488499230423029593188005934847229952,OrderFilled
